dataset,method,seed,stage,metric,value
mscoco,Full,2096,8,t2i_map,0.5867676526005898
mscoco,Full,2096,8,t2i_old,0.5822252268986127
mscoco,Full,2096,9,i2t_map,0.5716256265454331
mscoco,Full,2096,9,i2t_old,0.5679819336402453
mscoco,Full,2096,9,t2i_map,0.590753977480053
mscoco,Full,2096,9,t2i_old,0.5868927589410147
mscoco,Full,2096,10,i2t_map,0.577102604490266
mscoco,Full,2096,10,i2t_old,0.5755221223171592
mscoco,Full,2096,10,t2i_map,0.5923621578491419
mscoco,Full,2096,10,t2i_old,0.5895026466525665
mscoco,Full,6513,1,i2t_map,0.4826852172154333
mscoco,Full,6513,1,i2t_old,nan
mscoco,Full,6513,1,t2i_map,0.49615045795878915
mscoco,Full,6513,1,t2i_old,nan
mscoco,Full,6513,2,i2t_map,0.5070315472944631
mscoco,Full,6513,2,i2t_old,0.4922026956187812
mscoco,Full,6513,2,t2i_map,0.5168551224283795
mscoco,Full,6513,2,t2i_old,0.5012693327624935
mscoco,Full,6513,3,i2t_map,0.5139262316639369
mscoco,Full,6513,3,i2t_old,0.5044642463161877
mscoco,Full,6513,3,t2i_map,0.5291742968712425
mscoco,Full,6513,3,t2i_old,0.5171797263365917
mscoco,Full,6513,4,i2t_map,0.5273019965058584
mscoco,Full,6513,4,i2t_old,0.5166909040308737
mscoco,Full,6513,4,t2i_map,0.5442814025045483
mscoco,Full,6513,4,t2i_old,0.5310954776070685
mscoco,Full,6513,5,i2t_map,0.5323954385452098
mscoco,Full,6513,5,i2t_old,0.5259253589622106
mscoco,Full,6513,5,t2i_map,0.55368552489969
mscoco,Full,6513,5,t2i_old,0.543543966790041
mscoco,Full,6513,6,i2t_map,0.5433209764756801
mscoco,Full,6513,6,i2t_old,0.5372201145126282
mscoco,Full,6513,6,t2i_map,0.5599744613231443
mscoco,Full,6513,6,t2i_old,0.552924333358044
mscoco,Full,6513,7,i2t_map,0.5487371011626775
mscoco,Full,6513,7,i2t_old,0.5449618305102721
mscoco,Full,6513,7,t2i_map,0.5651450983625396
mscoco,Full,6513,7,t2i_old,0.5594402725758537
mscoco,Full,6513,8,i2t_map,0.552014739717579
mscoco,Full,6513,8,i2t_old,0.5481940278222236
mscoco,Full,6513,8,t2i_map,0.57063308322255
mscoco,Full,6513,8,t2i_old,0.5650668033739932
mscoco,Full,6513,9,i2t_map,0.5554459564150883
mscoco,Full,6513,9,i2t_old,0.5535426965859849
mscoco,Full,6513,9,t2i_map,0.5768579905809527
mscoco,Full,6513,9,t2i_old,0.5732297595697301
mscoco,Full,6513,10,i2t_map,0.5591720389364614
mscoco,Full,6513,10,i2t_old,0.5580909491589411
mscoco,Full,6513,10,t2i_map,0.5755617506953709
mscoco,Full,6513,10,t2i_old,0.5755823187956411
mscoco,Full,9231,1,i2t_map,0.4846608188643684
mscoco,Full,9231,1,i2t_old,nan
mscoco,Full,9231,1,t2i_map,0.5047661631059539
mscoco,Full,9231,1,t2i_old,nan
mscoco,Full,9231,2,i2t_map,0.5081803442883291
mscoco,Full,9231,2,i2t_old,0.48447420447078077
mscoco,Full,9231,2,t2i_map,0.5214457257884667
mscoco,Full,9231,2,t2i_old,0.4958070851495685
mscoco,Full,9231,3,i2t_map,0.517256578406748
mscoco,Full,9231,3,i2t_old,0.5037823231450947
mscoco,Full,9231,3,t2i_map,0.5337664903340374
mscoco,Full,9231,3,t2i_old,0.5175591537436304
mscoco,Full,9231,4,i2t_map,0.5288717159018768
mscoco,Full,9231,4,i2t_old,0.5208564509375884
mscoco,Full,9231,4,t2i_map,0.5423420764237089
mscoco,Full,9231,4,t2i_old,0.5302338978682165
mscoco,Full,9231,5,i2t_map,0.5330688304716824
mscoco,Full,9231,5,i2t_old,0.5262276144189186
mscoco,Full,9231,5,t2i_map,0.5520392510401154
mscoco,Full,9231,5,t2i_old,0.5400764662093283
mscoco,Full,9231,6,i2t_map,0.5456905717259897
mscoco,Full,9231,6,i2t_old,0.5381695393022506
mscoco,Full,9231,6,t2i_map,0.56010353536443
mscoco,Full,9231,6,t2i_old,0.5551315205386098
mscoco,Full,9231,7,i2t_map,0.5458873172129012
mscoco,Full,9231,7,i2t_old,0.5427850964326368
mscoco,Full,9231,7,t2i_map,0.5667586269520585
mscoco,Full,9231,7,t2i_old,0.5605928427667679
mscoco,Full,9231,8,i2t_map,0.5545938374974356
mscoco,Full,9231,8,i2t_old,0.54939066071576
mscoco,Full,9231,8,t2i_map,0.5726301380776947
mscoco,Full,9231,8,t2i_old,0.5682657252368365
mscoco,Full,9231,9,i2t_map,0.5623419453453872
mscoco,Full,9231,9,i2t_old,0.5574113926519839
mscoco,Full,9231,9,t2i_map,0.5820001916459967
mscoco,Full,9231,9,t2i_old,0.5767409593740666
