family,track,dataset,method,condition,representation,bit,seed,status,protocol_sha256,configuration_sha256,source_artifact_sha256,record_sha256,i2t_final_map,t2i_final_map,final_map,stage_map,old_gallery_map,train_time_s
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,128,6513,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,2772b2a6279b8c865c3523818941ab5285085356be183d15996c8d282d823db3,b7b40dc80d61186c7af298fe16166e9c04a3ef8e8f1c1f65d20a4acaeb45c082,0885bc895d73f555f3462092ed862b3f55b14ce046665143eccbc5093ac2060d,0.38827848764499756,0.36907314114674517,0.3786758143958714,0.36453015485164625,0.36406085556273216,284.6610624017194
full,strict-unpaired-online,nuswide81,BC-GTSH,full,CLIP,128,9231,completed,71da6121f745cd9b47c82391addd2e3e0dd2ce6213ff22c768d2a7db3d05162a,d6c3b73ed55fbf745c4e603384fa368240ceda5f9b9668f627743603d4d1b1e8,db92a57eb552e455610f9fe13cb670dca342b30ee04e735f6788dc96d40f8692,6db4e4d649adc166785a3e23672fb55bdd671ee2ad9c43229e6afb98be10d1a0,0.38631207787133104,0.3666659290714078,0.37648900347136943,0.36260760586152424,0.3625743289370835,283.99724609963596
nonclip_robustness,strict-unpaired-online,mscoco,BC-GTSH,full,VGG19+BOW,64,2096,completed,6776184822484aebb15fc559c0827868f648ba29aa20e6134587645769c4ee0f,6a3463391211adff1cb75dffe868ad2db25b5b5bbd10c61c25bec302fb60acdd,f6d1892fc833316a8418cf8d22af3704233bf08417ece14eb43791f145f2f22a,28c96e495d60d4b4789d685110d19d89ed9742bdd98f5444cad7724a3b805d1f,0.5053888464949501,0.5390943292052539,0.522241587850102,0.495975942360197,0.49442637448007476,129.55589690059423
nonclip_robustness,strict-unpaired-online,mscoco,BC-GTSH,full,VGG19+BOW,64,6513,completed,6776184822484aebb15fc559c0827868f648ba29aa20e6134587645769c4ee0f,f5b6aa273473365198b6a56fe104e981720ee610fb6a58c43f088e54a6bdd057,11a5bf631e08b0e55ce98cdf8dfe12ab27e3639e8ad756cdb9fe3708a18a3f0b,5a7b4127c7c28d0751557d6a79d0cb75e886c08764fdca3fea0c2fca4a9f18de,0.5136561794977675,0.5511744180083299,0.5324152987530487,0.5076910038743275,0.5065952294493533,165.8844192987308
nonclip_robustness,strict-unpaired-online,mscoco,BC-GTSH,full,VGG19+BOW,64,9231,completed,6776184822484aebb15fc559c0827868f648ba29aa20e6134587645769c4ee0f,3f2c9ecac6561fa92d8399b1d7df68755365d35d02e2c8096eb3e0d7fa1da7a3,ec4c1af035b9a749a5b06e4a1f0cb0be6f89ef172c70631ff48297001457d188,f7665a4767e1429d7537cc30f5e1ad3813ecd5a991007c9076829b703038b98c,0.5079008503229329,0.5418684560181256,0.5248846531705292,0.49884976665693703,0.4976294440690156,162.1212341999635
nonclip_robustness,strict-unpaired-online,mscoco,BC-GTSH,no-topology,VGG19+BOW,64,2096,completed,6776184822484aebb15fc559c0827868f648ba29aa20e6134587645769c4ee0f,124a53ddf66a1a0dc411a03f9f592a17d29dcfe1f62f1e98a7b8ceb19d0c7674,533491edd31a92558c54f7aade57f0090bab082744192ae2e0c8192c52a25f5b,86121001270126f13026cefb70cba00a227bf104d82e2589da4f39e946c00e6d,0.23321901115861002,0.2327923308157157,0.23300567098716285,0.23673379985719833,0.2371480363983134,105.99561210069805
nonclip_robustness,strict-unpaired-online,mscoco,BC-GTSH,no-topology,VGG19+BOW,64,6513,completed,6776184822484aebb15fc559c0827868f648ba29aa20e6134587645769c4ee0f,437754851d58916e9f99a7bbaef180ed8214947d35bd8b05c93882a9a7726072,ae66b2cbd6bbe89b21d95ea620f8648da60ae1e4499b40a66ca0d004062fcde0,ea1f267a498b99f92582e27b33f03aca6c645fedf8d37d34ab2631db45413e3a,0.23321901115861002,0.2327923308157157,0.23300567098716285,0.23673379985719833,0.2371480363983134,120.46262290049344
nonclip_robustness,strict-unpaired-online,mscoco,BC-GTSH,no-topology,VGG19+BOW,64,9231,completed,6776184822484aebb15fc559c0827868f648ba29aa20e6134587645769c4ee0f,5642bfcf3c4e4cb4005492dd02c176a22e385db261e97253ceb7f035e95bdb95,7b887995d9d19263465069006f1e2a7fd31211fe290adb3dff485c50687a3499,f89aeafd098c8f194743a4b2d39be59c67b54017b4fa36a8155b43dac500a630,0.23321901115861002,0.2327923308157157,0.23300567098716285,0.23673379985719833,0.2371480363983134,122.5043583996594
nonclip_robustness,strict-unpaired-online,mscoco,UIH,reference,VGG19+BOW,64,2096,completed,6776184822484aebb15fc559c0827868f648ba29aa20e6134587645769c4ee0f,,f5483f65acc7d6ec0122d7c1933cf1e45bf3e413a235cefcb4e2edd0077aafdc,64a32c37e65c5c9b16402f02ada07a0333890300e10296a29a627294f2d6260e,0.2483573223574006,0.25498559921994896,0.25167146078867475,0.254411387168236,0.2524350164382813,756.0786333084106
nonclip_robustness,strict-unpaired-online,mscoco,UIH,reference,VGG19+BOW,64,6513,completed,6776184822484aebb15fc559c0827868f648ba29aa20e6134587645769c4ee0f,,369d1bbd281f8a9789d6d0ae62550240fa89219d060e47db51ed3b1c90eb2794,48ad058266e6091d382fb50d7811e774ffb4a76f83f3cd816077469fd1d803e9,0.257282765810859,0.26245098685414225,0.2598668763325006,0.25787350619299476,0.25581746466412203,764.0816226005554
